Region,Region Code,Year,Year Code,Age Group,Age Group Code,Sex,Race,Deaths
Northeast,CENS-R1,2010,2010,1-4 years,4-Jan,Female,White,19
Northeast,CENS-R1,2010,2010,1-4 years,4-Jan,Male,White,27
Northeast,CENS-R1,2010,2010,5-9 years,9-May,Female,White,16
Northeast,CENS-R1,2010,2010,5-9 years,9-May,Male,White,19
Northeast,CENS-R1,2010,2010,10-14 years,14-Oct,Female,White,30
Northeast,CENS-R1,2010,2010,10-14 years,14-Oct,Male,White,32
Northeast,CENS-R1,2010,2010,15-19 years,15-19,Female,White,27
Northeast,CENS-R1,2010,2010,15-19 years,15-19,Male,White,51
Northeast,CENS-R1,2011,2011,1-4 years,4-Jan,Female,White,23
Northeast,CENS-R1,2011,2011,1-4 years,4-Jan,Male,White,21
Northeast,CENS-R1,2011,2011,5-9 years,9-May,Female,White,29
Northeast,CENS-R1,2011,2011,5-9 years,9-May,Male,White,46
Northeast,CENS-R1,2011,2011,10-14 years,14-Oct,Female,White,19
Northeast,CENS-R1,2011,2011,10-14 years,14-Oct,Male,White,38
Northeast,CENS-R1,2011,2011,15-19 years,15-19,Female,White,29
Northeast,CENS-R1,2011,2011,15-19 years,15-19,Male,White,49
Northeast,CENS-R1,2012,2012,1-4 years,4-Jan,Female,White,27
Northeast,CENS-R1,2012,2012,1-4 years,4-Jan,Male,White,29
Northeast,CENS-R1,2012,2012,5-9 years,9-May,Female,White,28
Northeast,CENS-R1,2012,2012,5-9 years,9-May,Male,White,40
Northeast,CENS-R1,2012,2012,10-14 years,14-Oct,Female,White,29
Northeast,CENS-R1,2012,2012,10-14 years,14-Oct,Male,White,36
Northeast,CENS-R1,2012,2012,15-19 years,15-19,Female,White,37
Northeast,CENS-R1,2012,2012,15-19 years,15-19,Male,White,39
Northeast,CENS-R1,2013,2013,5-9 years,9-May,Female,White,28
Northeast,CENS-R1,2013,2013,5-9 years,9-May,Male,White,29
Northeast,CENS-R1,2013,2013,10-14 years,14-Oct,Female,White,30
Northeast,CENS-R1,2013,2013,10-14 years,14-Oct,Male,White,23
Northeast,CENS-R1,2013,2013,15-19 years,15-19,Female,White,32
Northeast,CENS-R1,2013,2013,15-19 years,15-19,Male,White,58
Northeast,CENS-R1,2014,2014,1-4 years,4-Jan,Female,White,19
Northeast,CENS-R1,2014,2014,1-4 years,4-Jan,Male,White,28
Northeast,CENS-R1,2014,2014,5-9 years,9-May,Female,White,18
Northeast,CENS-R1,2014,2014,5-9 years,9-May,Male,White,27
Northeast,CENS-R1,2014,2014,10-14 years,14-Oct,Female,White,18
Northeast,CENS-R1,2014,2014,10-14 years,14-Oct,Male,White,25
Northeast,CENS-R1,2014,2014,15-19 years,15-19,Female,White,31
Northeast,CENS-R1,2014,2014,15-19 years,15-19,Male,White,43
Northeast,CENS-R1,2015,2015,1-4 years,4-Jan,Female,White,24
Northeast,CENS-R1,2015,2015,1-4 years,4-Jan,Male,White,27
Northeast,CENS-R1,2015,2015,5-9 years,9-May,Female,White,21
Northeast,CENS-R1,2015,2015,5-9 years,9-May,Male,White,28
Northeast,CENS-R1,2015,2015,10-14 years,14-Oct,Female,White,25
Northeast,CENS-R1,2015,2015,10-14 years,14-Oct,Male,White,23
Northeast,CENS-R1,2015,2015,15-19 years,15-19,Female,White,29
Northeast,CENS-R1,2015,2015,15-19 years,15-19,Male,White,51
Northeast,CENS-R1,2016,2016,1-4 years,4-Jan,Female,White,16
Northeast,CENS-R1,2016,2016,1-4 years,4-Jan,Male,White,23
Northeast,CENS-R1,2016,2016,5-9 years,9-May,Female,White,22
Northeast,CENS-R1,2016,2016,5-9 years,9-May,Male,White,31
Northeast,CENS-R1,2016,2016,10-14 years,14-Oct,Female,White,18
Northeast,CENS-R1,2016,2016,10-14 years,14-Oct,Male,White,37
Northeast,CENS-R1,2016,2016,15-19 years,15-19,Female,White,25
Northeast,CENS-R1,2016,2016,15-19 years,15-19,Male,White,40
Northeast,CENS-R1,2017,2017,1-4 years,4-Jan,Female,White,18
Northeast,CENS-R1,2017,2017,5-9 years,9-May,Female,White,27
Northeast,CENS-R1,2017,2017,5-9 years,9-May,Male,White,29
Northeast,CENS-R1,2017,2017,10-14 years,14-Oct,Female,White,29
Northeast,CENS-R1,2017,2017,10-14 years,14-Oct,Male,White,26
Northeast,CENS-R1,2017,2017,15-19 years,15-19,Female,White,27
Northeast,CENS-R1,2017,2017,15-19 years,15-19,Male,White,38
Northeast,CENS-R1,2018,2018,1-4 years,4-Jan,Female,White,21
Northeast,CENS-R1,2018,2018,1-4 years,4-Jan,Male,White,16
